,original,"random_geometrical n=100, beta=[0.05, 0.25]","random_geometrical n=100, beta=[0.2, 0.4]"
A-n32-k5,843.6881693466261,824.4654825390024,804.4714377030348
A-n38-k5,768.1318037906823,769.9859025106932,766.2248715351031
A-n45-k7,1199.9759634376983,1167.5417352867191,1165.2645382084963
A-n55-k9,1099.839530864583,1101.4269077666406,1101.7340637047191
A-n60-k9,1421.8826011092533,1388.9416121511697,1370.1170742056333
A-n61-k9,1102.2257523843734,1051.126326807815,1059.6337338145727
A-n65-k9,1239.420282137327,1211.9679258368856,1223.1873524506568
A-n80-k10,1860.9424980238114,1816.7947871630872,1809.4508132917063
B-n50-k7,748.8007847147744,759.9958627084824,745.413965018595
B-n52-k7,764.8989122998329,763.2115283811522,761.9751469205631
B-n57-k9,1653.4238667610891,1610.4122703565668,1625.4799053581605
B-n78-k10,1264.555104458118,1267.5611891747465,1261.1714909370032
E-n22-k4,388.77228583912915,392.2044855463595,387.542956046964
E-n30-k3,534.4482364968426,509.55518061429797,508.455043916143
E-n33-k4,843.0977933340914,847.1545010013542,843.0977933340905
E-n51-k5,584.6372084179401,547.9425080845512,548.4902023642668
E-n76-k10,907.3923759634118,883.0026460542452,862.9153503526029
E-n76-k14,1054.5993681612335,1058.9014468226862,1054.5993681612335
E-n76-k7,738.1324472633808,731.4289040571994,723.3459708084918
F-n135-k7,1219.320968775061,1207.3089126557104,1199.4730522870877
F-n45-k4,739.018681607349,737.0640665918108,729.1364393759247
F-n72-k4,256.1862087461052,258.56428373368664,254.8938497489601
M-n101-k10,833.5085732089905,844.2424537609556,828.6462704304043
M-n121-k7,1068.140694507969,1058.6108999110363,1058.594138623342
P-n101-k4,765.3793981291958,745.5495005144805,741.5909381567094
P-n22-k8,590.6210234857076,589.1029271630096,589.1029271630093
P-n40-k5,518.3720297625707,485.8850718518952,483.9589477898564
P-n50-k10,739.8375820731868,717.4480856148217,715.3996920247944
P-n55-k15,978.0679667816736,966.5615919201136,968.2298510629284
P-n65-k10,851.6670635731383,814.4040147173826,817.7740771631525
P-n70-k10,896.8628075110696,864.374019387271,854.4284818940778
P-n76-k4,688.3428122305361,651.3969155797201,649.1067959326008
P-n76-k5,709.375219580286,670.5967609005909,676.5788604147573
