,original,triangular n = 100,"geometrical n=100, beta=0.1","geometrical n=100, beta=0.2","geometrical n=100, beta=0.3","geometrical n=100, beta=0.4","geometrical n=100, beta=0.5","geometrical n=100, beta=0.6","geometrical n=100, beta=0.7","geometrical n=100, beta=0.8","geometrical n=100, beta=0.9"
A-n32-k5,843.6881693466261,1484.0288647491273,822.6747315829405,794.3401995463729,823.3870845008171,801.3983958911845,830.6709206433089,830.6709206433092,825.4534473564723,825.4534473564723,833.8609220304476
A-n38-k5,768.1318037906823,1538.6866778633628,771.7916807290048,766.3808541665201,768.131803790682,766.2248715351034,766.2248715351029,766.2248715351036,766.2248715351036,766.2248715351034,766.2248715351036
A-n45-k7,1199.9759634376983,2068.1074368487266,1166.6175696737919,1162.9936123386522,1162.8241876832064,1159.4592535278184,1161.8074058803695,1160.9261451279708,1167.1639146334442,1161.8074058803695,1182.4862662787375
A-n55-k9,1099.839530864583,2282.535832585895,1122.8411819974897,1101.6954781559202,1096.3969579611219,1097.24538673691,1096.384099663987,1096.384099663987,1098.9053856934345,1096.384099663987,1099.839530864583
A-n60-k9,1421.8826011092533,2664.045494424634,1397.4569116061646,1373.086721398791,1368.7647722142954,1369.1856572006882,1369.7623699741166,1369.7623699741157,1369.7623699741166,1376.5832613450013,1377.27633966637
A-n61-k9,1102.2257523843734,2325.8681891347505,1083.6096028394052,1053.4488759107064,1056.6953671373426,1054.0550177935515,1056.6953671373426,1056.6953671373435,1058.7960276256329,1058.7960276256329,1058.796027625633
A-n65-k9,1239.420282137327,2819.542015434597,1238.4767238179172,1203.842475074512,1230.2693215917266,1231.099569060682,1197.4936912697024,1239.4202821373265,1239.4202821373265,1239.4202821373265,1239.4202821373265
A-n80-k10,1860.9424980238114,3878.300218176901,1837.5369664544455,1823.130181711902,1810.7382375335183,1809.4508132917063,1815.0252356091478,1809.4508132917063,1809.9471084450433,1830.0643022255176,1830.040972954731
B-n50-k7,748.8007847147744,1844.06607964286,784.9161728034535,756.8265315827914,751.4385932377957,745.2605638672878,745.8925631745497,744.3390151495407,744.5505178882502,744.3390151495407,744.5505178882502
B-n52-k7,764.8989122998329,2012.0855435698552,768.1456805891186,761.9258966584761,757.9000286358611,762.0764337689595,761.3506125922695,762.9621704464076,762.9621704464085,762.9621704464085,762.9621704464085
B-n57-k9,1653.4238667610891,2650.8561018684895,1616.9676978852399,1614.817989841043,1605.9096098301056,1648.3715810667543,1648.0257868418514,1648.8035540331432,1648.9413537130442,1652.186936695157,1652.186936695157
B-n78-k10,1264.555104458118,3006.59713263822,1276.1208751108716,1259.0179135441344,1263.1433099220046,1259.640357931579,1259.268647353553,1259.5124947828206,1264.157215805743,1264.157215805743,1264.157215805743
E-n22-k4,388.77228583912915,593.3014620533977,394.83745002659657,377.6934822735256,378.3529275833687,385.2853879430639,387.5429560469642,387.5429560469642,387.5429560469642,387.5429560469642,387.5429560469642
E-n30-k3,534.4482364968426,894.3546586944503,541.4116656357891,515.0796274006194,505.01107914553745,506.05503145398086,505.0110791455377,510.55801714172605,508.3850188871359,512.1359102412724,512.8188330003574
E-n33-k4,843.0977933340914,1256.7616182482288,863.2819987805117,852.1405098886639,843.0977933340914,844.0521404421374,842.8024176052004,842.8024176052004,842.8024176052013,842.8024176052013,842.8024176052013
E-n51-k5,584.6372084179401,1201.1905382491173,570.0548718925521,555.5486291859277,562.7738518594927,562.4440236961595,576.1466086309842,577.0913478563896,582.4076057906584,582.4076057906584,582.4076057906584
E-n76-k10,907.3923759634118,1993.5707441964594,894.2632596852785,879.0566280320903,859.2257396621875,866.2994818492979,875.134272216178,873.0142744687547,872.7268740770838,885.3801161847276,887.5721995364556
E-n76-k14,1054.5993681612335,2071.550991386468,1073.0950523554586,1059.6459646727146,1054.5476988416965,1052.3331204325464,1054.599368161233,1054.5993681612335,1054.5993681612335,1052.3331204325464,1054.5993681612335
E-n76-k7,738.1324472633808,1987.0046124380337,735.5804298164167,706.3346125347894,727.1497732504968,725.2459740499739,726.3115703324925,727.1497732504972,730.2340300654816,730.2340300654812,730.2340300654816
F-n135-k7,1219.320968775061,4595.211542680457,1273.850093530527,1209.6209914045157,1213.2062894400892,1211.9510111228788,1215.226869682264,1214.8388324965754,1214.6875064998826,1216.2405561120563,1216.24055611206
F-n45-k4,739.018681607349,1697.2435816671023,743.8949137751754,732.0582418614715,728.6586106698121,727.7463291782956,728.2869257750692,727.7463291782956,729.972039158955,738.4780850105751,738.4780850105751
F-n72-k4,256.1862087461052,881.1187823913607,259.8819299476018,256.5507039984517,254.86901707664254,254.99487103301374,254.86901707664322,254.86901707664276,254.86901707664276,254.8690170766423,254.86901707664322
M-n101-k10,833.5085732089905,2931.4769193554403,866.9650042149597,836.0035372280096,836.4144797485417,830.4032412470013,828.6462704304053,826.2611056232703,829.3664375852599,830.4032412470009,830.4032412470009
M-n121-k7,1068.140694507969,4786.955693397992,1073.7217819901664,1062.3774585649878,1062.0113731986464,1057.439248727684,1058.61082160294,1058.6108216029381,1058.6108216029381,1062.7527114332536,1068.140694507969
P-n101-k4,765.3793981291958,2503.550869847475,741.4556653722113,735.3800423146864,739.9176638463541,741.5909381567101,746.3209599553368,761.2950567473621,755.7195329862221,763.0278624975186,764.2134968595826
P-n22-k8,590.6210234857076,713.4978422323048,600.4031429709376,589.391693693543,588.7935242586068,588.793524258607,588.7935242586068,588.793524258607,588.793524258607,588.7935242586068,588.793524258607
P-n40-k5,518.3720297625707,950.5479213208157,482.25561179023794,481.5992239497045,483.9589477898564,483.95894778985684,483.9589477898566,492.97634310682054,483.95894778985684,496.2094023921343,503.7461365949795
P-n50-k10,739.8375820731868,1273.1471220578396,721.4841954375783,716.4287230070987,716.2161427079103,715.8711441851088,714.2187168290283,714.218716829028,722.0357791285811,722.0357791285818,722.035779128582
P-n55-k15,978.0679667816736,1529.8783674185368,981.1956724707782,965.4699448522401,966.5458365206229,956.7190641424288,968.3867834411103,956.6955373700405,968.3632566687215,968.7106553251684,968.7106553251684
P-n65-k10,851.6670635731383,1785.4332948780932,838.9769483981584,831.0367401432413,828.4049384532946,826.0267728174072,828.4842090463058,831.0367401432413,836.9640547231368,831.2337266385576,836.9640547231368
