,original,triangular n=500,"geometrical n=500, beta=0.1","geometrical n=500, beta=0.2","geometrical n=500, beta=0.3","geometrical n=500, beta=0.4","geometrical n=500, beta=0.5","geometrical n=500, beta=0.6","geometrical n=500, beta=0.7","geometrical n=500, beta=0.8","geometrical n=500, beta=0.9"
A-n32-k5,843.6881693466261,1416.927451075327,817.4135730551506,807.7656994448048,801.504336838568,787.2024006859932,801.3983958911845,801.3707750292857,825.6462701474082,830.672637824468,833.8609220304476
A-n38-k5,768.1318037906823,1456.0890740564214,776.4073662800464,764.8099133837309,765.8654893700123,766.2248715351034,766.2248715351034,766.2248715351034,766.2248715351034,766.2248715351036,766.2248715351036
A-n45-k7,1199.9759634376983,1922.9062793848766,1176.6824008748015,1161.6780780537385,1161.8074058803704,1160.9261451279708,1160.9261451279708,1161.8074058803709,1161.80740588037,1166.2826538810448,1167.1639146334442
A-n55-k9,1099.839530864583,2226.80013604362,1100.7828152132865,1100.7902829158984,1097.2582450340453,1096.384099663987,1096.3840996639879,1096.384099663987,1096.3840996639865,1096.384099663987,1096.384099663987
A-n60-k9,1421.8826011092533,2664.6724885744634,1395.2190796905008,1373.4719103837908,1368.3054998520122,1367.6462761820428,1368.6670199520765,1368.6602040835298,1369.069291652748,1369.069291652748,1376.0951632789042
A-n61-k9,1102.2257523843734,2182.479521852546,1065.0772967799921,1057.2508577702135,1049.2320048574989,1052.8734201421148,1054.0550177935525,1050.6928257089864,1056.695367137343,1058.7960276256326,1058.796027625633
A-n65-k9,1239.420282137327,2621.0280844762688,1233.5819816428825,1201.1322056225283,1201.0119981151745,1197.4936912697024,1197.4936912697024,1197.4936912697028,1239.4202821373265,1239.4202821373265,1239.4202821373265
A-n80-k10,1860.9424980238114,3715.121775914624,1818.907976686921,1809.610620834852,1809.6106208348556,1809.4508132917063,1809.4508132917063,1809.4508132917063,1809.4508132917063,1809.9471084450433,1833.73747918822
B-n50-k7,748.8007847147744,1681.8004655944887,767.3173877367758,752.4364220021596,747.001095456503,744.564131820261,744.5505178882502,744.3390151495407,744.3390151495407,744.5505178882502,744.3390151495407
B-n52-k7,764.8989122998329,1920.501158413773,764.2839261407094,759.2775934792882,760.4595238584538,759.1707000791347,761.3506125922704,762.9621704464076,762.9621704464076,762.9621704464076,762.9621704464085
B-n57-k9,1653.4238667610891,2416.4460794615684,1624.0304737508332,1608.178331152612,1608.2985478868454,1621.3760421360116,1648.9413537130442,1646.3511440769787,1648.9413537130442,1648.9413537130442,1648.9413537130442
B-n78-k10,1264.555104458118,3065.7583620797936,1268.0063921530348,1257.812568888258,1260.214161638509,1259.270790976281,1259.2666373032982,1260.7817128626696,1259.2705359276827,1264.157215805743,1264.157215805743
E-n22-k4,388.77228583912915,558.3648501152014,378.3529275833687,378.3529275833687,384.26720876049455,387.5429560469641,378.35292758336846,387.5429560469642,387.5429560469642,387.5429560469642,388.77228583912904
E-n30-k3,534.4482364968426,893.7856249301337,524.1826485253347,506.0550314539813,506.6719670366645,505.226111256355,505.0110791455377,505.0110791455379,505.2261112563557,512.135910241272,512.8188330003574
E-n33-k4,843.0977933340914,1192.2603386060823,866.5168713653077,843.8518744154926,843.0977933340923,842.8024176052004,842.8024176052004,842.8024176052004,842.8024176052013,842.8024176052004,842.8024176052013
E-n51-k5,584.6372084179401,1152.1462298869674,551.0755235902367,554.1651801446998,554.1651801447007,548.4902023642672,557.3998532746258,575.3656878334549,577.0913478563891,582.407605790658,582.4076057906584
E-n76-k10,907.3923759634118,1845.8411941632194,871.6893130292773,864.6491967297013,865.9302004910056,859.2257396621873,859.2257396621875,866.2994818492979,866.2994818492979,866.7401736352966,878.1018373162905
E-n76-k14,1054.5993681612335,2028.1518513090873,1061.0720269030294,1052.4145594335253,1051.6687188952983,1051.6687188952983,1052.3331204325464,1052.3331204325464,1052.3331204325468,1052.3331204325464,1054.5993681612335
E-n76-k7,738.1324472633808,1841.4933625513384,729.7434409137553,705.948452465601,715.9355934994808,720.9996368634618,728.3302308649579,727.1497732504977,725.2459740499739,728.3302308649579,730.2340300654812
F-n135-k7,1219.320968775061,4272.5973273331465,1209.650931547188,1206.3384762400497,1203.099698723259,1205.131497454314,1205.3089271205647,1212.225948846935,1214.6082869915667,1214.608286991563,1215.7378029635224
F-n45-k4,739.018681607349,1745.7372055999142,734.8949750280749,729.200759518664,728.2029198555026,727.7463291782944,728.2881866042685,727.7463291782956,727.7463291782954,728.2869257750683,730.0182169917668
F-n72-k4,256.1862087461052,861.0174089932048,259.6653760721228,256.0851874620512,254.95972111269626,254.86901707664276,254.8690170766423,254.8690170766423,254.86901707664276,254.8690170766423,254.86901707664276
M-n101-k10,833.5085732089905,2978.5982193811305,855.9781810747555,836.2206432868675,826.261105623268,829.3664375852599,829.8653854744529,828.6462704304043,830.4032412470009,830.4032412470009,830.4032412470009
M-n121-k7,1068.140694507969,4883.609324100292,1070.8736687110477,1059.1845334628986,1057.439248727684,1057.168784943314,1058.6108216029381,1058.6108216029381,1058.6108216029381,1058.6108216029381,1059.4549972472685
P-n101-k4,765.3793981291958,2478.162325254857,731.6416971853891,729.7483393394483,733.2307560950696,735.4790683878286,743.3668107471441,755.7195329862221,755.7195329862221,762.4994019612844,763.4872253160104
P-n22-k8,590.6210234857076,685.461123425947,589.7557434093992,588.793524258607,588.7935242586068,588.7935242586068,588.7935242586068,588.7935242586068,588.7935242586068,588.793524258607,588.793524258607
P-n40-k5,518.3720297625707,872.3316813276917,474.0136066446737,482.8554004286781,483.9589477898566,483.9589477898564,483.9589477898564,483.9589477898564,496.2094023921343,496.20940239213405,496.2094023921343
P-n50-k10,739.8375820731868,1219.145376800904,722.1141886723241,712.1116162170042,711.2195794689655,714.2187168290285,712.7714371708422,714.2187168290287,714.2187168290287,722.0357791285818,722.0357791285818
P-n55-k15,978.0679667816736,1494.5648902148819,978.0172276046667,960.9617471993157,958.7260004788099,958.7260004788103,956.7190641424291,956.6955373700405,960.7623672649434,968.3632566687215,968.7106553251689
P-n65-k10,851.6670635731383,1652.631226554522,830.4726173381642,814.9389092376819,824.5375192684933,818.5840503074442,828.1233061134517,831.2337266385572,821.3598640081109,831.2337266385576,836.9640547231368
P-n70-k10,896.8628075110696,1779.9884148524534,860.0003282551857,854.9361702049908,854.9361702049904,862.7338957435102,861.589971118878,867.3245948580716,868.6249543990735,875.6514973999381,875.6514973999381
P-n76-k4,688.3428122305361,1650.1916811000092,646.964751141484,636.6186483377284,641.814633748357,631.9919160056296,643.0433821270893,636.328589507632,643.2880944272016,655.3768988046032,655.3768988046032
P-n76-k5,709.375219580286,1819.643290447446,681.365395495526,667.062647852775,670.09428175776,672.0210907412588,671.7721567376193,671.9990916745742,675.1407166418539,675.1407166418539,675.1407166418542
